creation_date,data,track,work,sleep,self,app,measure,start,effect,experiment,project,help,people,amp,hrv,rate,health,device,change,user,test,heart,different,note,post,food,learn,new,result,oura
2020-06-26,10,12,0,0,6,5,0,2,0,0,2,1,0,1,0,1,0,0,1,1,0,0,1,0,7,0,0,2,0,0
2020-06-27,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,4,2,1,7,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
2020-06-30,4,4,1,2,2,6,3,0,1,1,0,1,1,0,0,1,0,1,0,0,2,1,0,0,0,0,0,1,0,0
2020-07-01,3,9,3,1,1,1,1,0,5,2,1,2,0,0,0,0,0,0,2,1,0,1,1,0,1,0,2,2,0,0
2020-07-02,7,7,4,2,4,0,1,2,0,2,2,0,1,4,0,2,0,2,0,1,0,1,0,0,1,0,0,1,0,0
2020-07-03,11,9,4,0,6,7,1,1,1,0,1,1,1,1,3,6,2,0,1,0,0,1,1,0,1,0,0,1,2,3
2020-07-04,4,1,3,1,1,3,1,0,2,7,1,1,0,3,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0
2020-07-05,0,0,0,0,0,0,1,0,4,2,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
2020-07-06,2,2,1,0,0,2,0,1,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0
2020-07-07,1,0,2,1,0,2,0,0,0,0,0,4,0,0,0,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0
2020-07-08,2,5,2,1,0,1,3,0,2,1,0,1,0,3,1,10,2,4,1,0,0,6,0,0,0,0,0,0,1,1
2020-07-09,11,9,6,0,1,6,6,3,11,1,1,0,1,8,0,3,0,0,1,0,0,0,3,2,0,2,0,2,2,0
2020-07-10,8,8,1,0,1,1,2,0,3,1,1,2,1,0,0,1,0,0,4,2,1,0,1,0,1,3,1,0,0,1
2020-07-12,9,2,3,0,1,2,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,1,0,0
2020-07-13,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-14,12,8,2,2,1,0,2,2,0,1,1,3,1,1,0,2,0,0,0,0,0,0,0,1,0,0,9,1,2,0
2020-07-15,2,2,8,2,1,5,0,3,1,0,0,2,0,1,0,8,0,0,0,0,1,6,0,34,1,0,0,2,0,0
2020-07-16,1,2,6,1,0,3,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,5,3,0,0
2020-07-17,26,3,0,6,18,7,0,6,0,0,0,0,0,6,0,2,0,0,0,4,1,0,0,1,0,0,1,2,0,0
2020-07-19,0,0,5,0,0,3,0,4,0,1,2,2,0,0,0,1,0,0,0,0,0,1,2,2,0,0,4,0,0,0
2020-07-20,1,3,0,4,7,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2020-07-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-07-22,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0
2020-07-23,15,5,1,1,1,12,0,1,0,0,1,2,0,2,0,1,0,0,3,2,0,0,2,2,1,3,0,1,2,0
2020-07-24,13,3,3,1,4,7,0,0,0,0,0,3,11,0,0,0,0,0,4,2,0,0,2,0,2,0,1,1,0,0
2020-07-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-28,7,8,2,0,0,7,1,1,0,0,0,3,1,2,0,3,6,2,0,0,2,1,2,0,0,0,0,0,1,0
2020-07-29,3,1,0,0,0,3,1,2,3,0,0,0,1,0,1,4,0,0,5,0,0,3,3,0,1,0,1,3,3,0
2020-07-30,12,1,0,0,0,5,0,0,0,0,1,0,0,6,0,1,0,2,5,1,1,0,1,0,3,0,0,0,0,0
2020-07-31,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,1,1
2020-08-02,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-03,4,1,2,0,0,7,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
2020-08-04,0,0,0,2,1,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2020-08-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-08,6,4,6,2,0,5,3,2,0,0,0,0,0,0,0,9,0,0,1,0,0,9,2,0,1,0,0,0,0,0
2020-08-09,9,11,0,3,0,6,0,0,1,0,3,1,1,2,0,1,0,0,0,0,0,0,0,2,1,1,0,2,1,1
2020-08-10,0,1,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-08-11,10,4,1,0,8,10,1,1,0,3,0,2,0,0,0,1,1,0,0,0,0,0,1,1,2,3,3,0,0,0
2020-08-12,10,16,6,2,5,5,0,1,2,11,1,2,2,10,0,0,2,0,1,0,0,0,2,0,0,5,3,6,3,0
2020-08-13,9,5,2,0,2,3,0,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,1,0
2020-08-14,0,4,1,1,1,2,0,0,0,0,1,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-08-16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-17,19,14,2,2,8,5,1,3,1,0,3,0,0,2,0,0,0,0,3,1,1,0,0,0,0,0,2,2,0,0
2020-08-18,14,8,14,4,3,11,4,5,0,0,2,1,2,2,0,2,1,1,0,3,0,1,1,0,3,0,0,0,0,1
2020-08-19,1,1,2,0,0,3,0,0,0,0,0,3,1,0,0,2,0,0,0,3,0,0,0,1,2,1,0,3,0,1
2020-08-20,3,5,2,0,2,6,3,0,2,0,0,4,2,1,0,3,3,1,0,0,2,0,0,0,0,5,0,0,0,1
2020-08-21,4,4,1,0,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2020-08-23,0,0,1,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
2020-08-24,2,2,2,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-25,4,2,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-08-26,6,3,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2020-08-27,3,1,0,0,0,3,4,0,3,0,0,0,0,2,0,2,0,2,0,3,0,1,0,0,1,0,0,0,0,0
2020-08-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-29,1,2,2,0,2,0,0,0,0,0,3,0,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2020-08-30,1,0,2,1,0,3,0,0,0,1,1,3,0,0,0,1,1,0,0,0,3,0,0,0,0,2,0,0,2,0
2020-09-04,1,2,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-09-05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-06,8,2,4,0,1,3,0,0,0,0,1,1,0,2,0,4,0,2,0,6,0,1,2,0,0,0,1,0,0,0
2020-09-09,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-10,1,4,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-09-11,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
2020-09-13,3,4,2,0,3,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
2020-09-14,6,0,0,0,0,4,0,0,0,1,0,0,0,0,8,4,1,0,0,0,0,3,0,0,0,0,0,1,1,0
2020-09-15,0,1,2,0,1,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2020-09-16,7,3,3,0,3,2,1,0,0,0,2,0,0,0,0,1,3,2,0,0,0,0,1,0,1,0,3,0,0,0
2020-09-18,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2020-09-19,0,7,2,0,3,19,0,0,1,0,0,1,0,0,0,4,6,0,4,0,0,0,0,0,0,1,0,0,1,1
2020-09-22,10,1,0,0,1,1,0,0,0,1,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,2,0,0
2020-09-23,4,2,4,9,2,4,2,0,0,0,0,0,0,0,12,6,8,1,4,0,2,2,0,0,4,0,0,1,3,3
2020-09-24,6,5,0,0,1,1,0,1,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0
2020-09-25,0,0,0,1,0,0,1,0,2,0,1,0,0,0,9,1,0,0,0,0,0,1,0,1,2,0,0,0,1,0
2020-09-26,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-27,5,8,1,0,0,1,0,0,1,8,0,0,1,5,2,0,0,0,1,0,0,0,2,0,0,2,0,0,3,0
2020-09-28,6,13,3,2,5,1,3,0,1,1,0,0,1,4,8,2,0,3,2,0,0,2,1,6,0,1,0,0,1,4
